,title,permalink,sdg_goal,layout,indicator,indicator_variable,graph,graph_title,graph_type_description,graph_status_notes,variable_description,variable_notes,un_designated_tier,un_custodial_agency,target_id,has_metadata,rationale_interpretation,goal_meta_link,goal_meta_link_page,indicator_name,target,indicator_definition,actual_indicator_available,actual_indicator_available_description,method_of_computation,periodicity,time_period,date_of_national_source_publication,scheduled_update_by_national_source,source_agency_staff_name,source_agency_staff_email,source_agency_survey_dataset,source_title,source_notes,comments_and_limitations,published,source_url,us_method_of_computation,disaggregation_categories,disaggregation_geography,date_metadata_updated,scheduled_update_by_SDG_team,unit_of_measure,international_and_national_references,graoh,variable_unit_label
189,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",/5-6-1/,5,indicator,5.6.1,null,null,null,null,Redline,null,null,2,UNFPA; UN Women,5.6,true,,http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-5.pdf,21,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences.,"From UN-WOMEN: This is an indicator measuring specific decisions by women (aged 15-49) on their own sexuality and reproduction. Interviewees will have to provide a yes answer to all three questions in order to count as a woman who makes her own sexual and reproductive decisions. The first question looks at the ability to say no to sexual intercourse as a critical condition of sexual autonomy. The second question measures the womans decision concerning using or not using contraception. The third question measures the womans decision about reaching sexual and reproductive healthcare for her. The three questions are as follows: \t1. Whether a woman can say no to her husband/partner if she does not want to have sexual intercourse (DHS q. 1054) \t2. Whether using contraception or not using contraception has been mainly the womans decision (DHS phase 7 q. 819 and 820) \t3. Whether a woman can make a decision about sexual and reproductive healthcare for herself (DHS q.922 with added language) From UNFPA: The indicator is based on three central elements measuring the empowerment of women (married, in union and ever sexually active women) aged 15-49 to make the following decisions, : (a) whether they are able to reject unwanted sexual relations; (b) using or not using contraception; and (c) whether they can access sexual and reproductive health care for herself.",null,null,"From UN-WOMEN: Denominator: Women of reproductive age 15-49 Measurement: Indicator will be measured through DHS and MICS covering most of low and middle income countries. In developed countries the indicator will be measured through national household surveys From UNFPA \tThe methodology for this indicator has been developed by UNFPA in close collaboration with UN Women by building on available information from DHS surveys. These three questions are already included in the DHS: (a) DHS q. 1054; (b) DHS Phase 7, q. 819 & 820; (c) DHS q. 922). In all cases these questions are currently asked to women married or in union. Therefore the denominator will need to be expanded to include ever sexually active women. In the case of the last question, the current DHS question just refers to healthcare for herself, not specifically SRH care, which will need to be added. \tUNFPA is also compiling and analyzing data from available countries across different regions to understand better how the indicator behaves and whether some additional tweaking will be needed in the formulation of the indicator and its specific components. \tIn DHS, the indicator is already disaggregated by location, economic quintile, and education. For the component related to contraceptive use the indicator is also disaggregated by method of contraception. The proposal is to add age, marital status (married, in union, unmarried) and disability.",null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,,0,0
190,"Number of countries with laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education",/5-6-2/,5,indicator,5.6.2,null,null,null,null,Redline,null,null,3,UNFPA,5.6,true,,http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-5.pdf,23,"Number of countries with laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education",Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences.,"From UN-WOMEN: Legal/regulatory frameworks covered by this indicator include laws and regulations that explicitly guarantee: 1. Access to SRH services without third party authorization (from the spouse, guardian, parents or others); 2. Access to SRH services without restrictions in terms of age and marital status; 3. Access by adolescents to SRH information and education. Note: the indicator also measures the absence of laws that prohibit or restrict access to SRH services From UNFPA: This indicator measures the proportion of countries with laws and regulations that guarantee women and adolescents access to sexual and reproductive health services, information and education irrespective of age, marital status and without third party authorization.From UNFPA: This indicator measures the proportion of countries with laws and regulations that guarantee women and adolescents access to sexual and reproductive health services, information and education irrespective of age, marital status and without third party authorization.",null,null,"From UN-WOMEN: Denominator: All Member States, for federal states this will be reflected in central governments self-reporting. Sources of information and methodology: The suggested methodology consists of initial self-reporting by governments through a detailed survey to be developed based on the indicators below with detailed questions that safeguard the replicability and reliability of state responses. This procedure was applied for the ICPD+20 review survey with support to governments from UNFPAs country offices where needed. The self-reported data will undergo validation and qualitative assessment by responsible UN agencies assigned to the task. At this stage other stakeholders and data sources could be consulted, e.g. National Human Rights Institutions, human rights treaty bodies or other international, regional or national monitoring bodies. From UNFPA: Methodology and feasibility of data collection \tThe indicator will measure the number of countries with legal and regulatory frameworks guaranteeing access to sexual and reproductive services, education and information without any of the above restrictions. Therefore, to count as a \yes\ all the four requirements included in this indicator will need to be met: (i) access without third party authorization; (ii) access without age restrictions; (iii) access irrespective of marital status; and (iv) access to education and information at all levels. For countries counting as \no\, nevertheless, data will be disaggregated in accordance to each of those requirements to be able to measure progress on each particular front. Sources of information and methodology: \tThe suggested methodology consists of initial self-reporting by governments through a detailed survey to be developed based on the indicators below with detailed questions that safeguard the replicability and reliability of state responses. This procedure was successfully applied for the ICPD+20 review survey with support to governments from UNFPAs country offices where needed. \tInformation provided by States can be complemented with information from UN treaty monitoring bodies, including the Committee on Elimination of All Forms of Discrimination Against Women, the Committee on the Rights of the Child and the Committee on Economic, Social and Cultural Rights. These three committees are systematically collecting information and issuing recommendations to State parties on all the issues covered by this indicator. A combined use of these three committees as sources of information will ensure near universal coverage of States and will also increase the periodicity of information. \tMoreover, other actors with a monitoring role such as regional human rights mechanisms, national human rights institutions and civil society organizations often provide information on the components covered by this indicator. UN agencies such as WHO, UNFPA and UN Women also compile country specific information on legal and regulatory developments on issues pertaining to their respective mandates.",null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,,0,0
191,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rightsbearers of agricultural land, type of tenure",/5-a-1/,5,indicator,5.a.1,null,null,null,null,checking,null,null,3,FAO,5.a,true,,http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-5.pdf,27,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rightsbearers of agricultural land, type of tenure","Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws.","The indicator is divided in two parts: (a) measures the incidence of people with ownership or secure rights over agricultural land among the total agricultural population; while (b) focusses on the gender parity measuring the extent to which women are disadvantaged in ownership or rights over agricultural land. Part (a) and part (b) cannot be seen as two different indicators, they rather provide two complementary information. Plus, they can be computed using (almost) the same data, the main difference between the 2 parts being only the denominator. Definition of agricultural land: Since Target 1.4 explicitly refers to equal rights on economic resources, the proposed indicator focuses on land that can be used as a productive resource for livelihood development, thus the focus on agricultural land. The focus on land as productive resource (or for livelihood development) helps deriving indication on empowerment and advancement towards poverty reduction, compared to lands used for other purposes that are not economically and livelihood-related. This is particularly true in developing countries where poverty reduction strategies are necessarily linked to agricultural development. The term agricultural land is used to indicate land used for farming, livestock and forestry activities. This emphasizes the importance to monitor ownership/secure rights on land of farm-based livelihood people as well as people whose main source of livelihood is livestock and forestry. Similarly the term agricultural population has to be intended in a broad sense  i.e. including people living out of farming, livestock and forestry, with land rights or without (landless). Definition of ownership and rights over land: The landowner is the legal owner of the land. Definitions of ownership may vary across countries and surveys. For instance, documented ownership means that ownership is verified through title or deed, while reported ownership relies on individuals own judgment. Reported ownership may be more appropriate in countries where a formal registration system is not in place. Additionally, in some countries, particularly where land private ownership is not applicable, it is more appropriate to investigate rights over land using proxies able to capture individuals capability to control and take decisions over the land. This may include settings where customary rights prevail as opposed to individual ownership. Proxies of such \bundle of rights\ may include the right to sell, to bequeath or the right to decide how to use the land. Since the definition of ownership and land rights has to take into account what is more relevant in the country, the indicator will need to be complemented with metadata that specify what definition(s) of ownership or rights over land is/are employed. Tenure Type Finally and most importantly, this indicator has to be disaggregated by type of tenure. Therefore, the data collection methodology should always include a question on land tenure. Land tenure refers to the arrangements or rights under which people have access to land, and it is one of the key elements to tenure security.5 There are different formal and informal tenure systems around the world and the distinction between legal and non-legal tenure is often blurred. When available, the indicator shall also be disaggregated by documented tenure rights. The FAO World Census of Agriculture encourages countries to use country-specific types of tenure whilst ensuring the possibility to classify ex-post under the following broad categories: 1) legal ownership or legal owner-like possession; 2) Non-legal ownership or non-legal owner-like possession; 3) Rented land from someone else; 4) Various other types of land tenure. Broadly speaking, legal ownership or legal owner-like possession describes land rights that provide statutory security of tenure. This may be done through a formal land title system, but may also include certain forms of customary land tenure arrangements where land rights are registered or certified in some way. The following types of tenure arrangements may be included under this heading: \tOwnership is certified through a title, which gives the individual the right to determine the nature and extent of the use of the land. \tLand is held under conditions that enable it to be operated as if legally owned. E.g., the land is operated under hereditary tenure, perpetual lease, or long-term lease, with nominal or no rent. \tThe land is held under a tribal, communal, or traditional form of tenure, which is legally recognized by the state. Such arrangements usually involve land being held on a tribal, village, kindred or clan basis, with land ownership being communal in character but with certain individual rights being held by virtue of membership in the social unit. Such arrangements can be formalized through the establishment of legal procedures to identify the communitys land and to manage the land rights of community members.",null,null,"We propose using the total agricultural population as denominator of part (a), instead of the total population, because ownership or right-security over agricultural land is obviously relevant only for the people whose livelihood rely on agriculture. Part (a) ( People with ownership or secure rights over agricultural land / Total agricultural population ) * 100 Part (b) ( Women with ownership or rights over agricultural land / Total owners or rights bearers over agricultural land ) * 100",null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,,0,0
192,Proportion of countries where the legal framework (including customary law) guarantees womens equal rights to land ownership and/or control,/5-a-2/,5,indicator,5.a.2,null,null,null,null,UNK,null,null,3,FAO,5.a,true,,http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-5.pdf,30,Proportion of countries where the legal framework (including customary law) guarantees womens equal rights to land ownership and/or control,"Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws.","The precise definition of this indicator is: \The legal framework includes special measures to guarantee womens equal rights to landownership and control\. The indicator monitors reforms that give women equal rights to economic resources, as well as access to ownership and control over land. More specifically, the indicator allows for monitoring progress towards gender equity through the adoption of women-specific measures to promote womens secure rights to land. The indicator has a scoring system from 0 to 4, which signals the stage in the policy/legal framework working towards legal reform, as follows: \tScore 0: Absence of the indicator in the legal framework \tScore 1: A policy is being developed \tScore 1.5: A policy is in place \tScore 2: A draft legislation is to be submitted for deliberations \tScore 3: The indicator appears in primary law \tScore 4: The indicator appears in multiple legal instruments N/A: Not applicable The indicator considers whether: \tNational legal framework gives priority to women heads of household under land distribution and titling programmes; \tNational legal framework establishes targeted government funds to increase women access to land; \tJoint titling of private property (or user rights) is compulsory in the registration process for husband and wife; The proposed indicator is supported by a number of international instruments, including: \tMaputo Protocol, Article 19(c): \t\States Parties shall take all appropriate measures to [...] promote womens access to and control over productive resources such as land and guarantee their right to property\; \tIt is in line with the Voluntary Guidelines for Responsible Governance of Tenure of Land, Fisheries and Forests (VGGT). Namely: \t\tPrinciple 4 on Gender equality: \Ensure the equal right of women and men to the enjoyment of all human rights, while acknowledging differences between women and men and taking specific measures aimed at accelerating de facto equality when necessary. States should ensure that women and girls have equal tenure rights and access to land, fisheries and forests independent of their civil and marital status.\\t\tSection 25.6: \Special procedures should, where possible, provide the vulnerable, including widows and orphans, with secure access to land, fisheries and forests.\",null,null,,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,,0,0
193,"Proportion of individuals who own a mobile telephone, by sex",/5-b-1/,5,indicator,5.b.1,own_mobile_phone_female,longitudinal,,Line graph,Graphed,null,null,1,ITU,5.b,true,"Mobile phone networks have spread rapidly over the last decade and the number of mobile-cellular subscriptions is quasi equal to the number of the people living on earth. However, not every person uses, or owns a mobile-cellular telephone. Mobile phone ownership, in particular, is important to track gender equality since the mobile phone is a personal device that, if owned and not just shared, provides women with a degree of independence and autonomy, including for professional purposes. A number of studies have highlighted the link between mobile phone ownership and empowerment, and productivity growth. Existing data on the proportion of women owning a mobile phone suggest that less women than men own a mobile phone. This indicator highlights the importance of mobile phone ownership to track and to improve gender equality, and monitoring will help design targeted policies to overcome the gender divide. The collection of this indicator was proposed by the Task Group on Gender of the Partnership on Measuring ICT for Development.",http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-5.pdf,33,"Proportion of individuals who own a mobile telephone, by sex","Enhance the use of enabling technology, in particular information and communications technology, to promote the empowerment of women.","This indicator is defined as the proportion of individuals who own a mobile telephone, by sex. An individual owns a mobile cellular phone if he/she has a mobile cellular phone device with at least one active SIM card for personal use. Mobile cellular phones supplied by employers that can be used for personal reasons (to make personal calls, access the Internet, etc.) are included. Individuals who have only active SIM card(s) and not a mobile phone device are excluded. Individuals who have a mobile phone for personal use that is not registered under his/her name are also included. An active SIM card is a SIM card that has been used in the last three months. A mobile (cellular) telephone refers to a portable telephone subscribing to a public mobile telephone service using cellular technology, which provides access to the PSTN. This includes analogue and digital cellular systems and technologies such as IMT-2000 (3G) and IMT-Advanced. Users of both postpaid subscriptions and prepaid accounts are included. Countries can collect data on this indicator through national household surveys.","Proportion of individuals who use an Internet-connected mobile telephone, by sex","Proportion of individuals who use an Internet-connected mobile telephone, by sex, age 3 and over",This indicator is calculated by dividing the total number of in-scope individuals who own a mobile phone by the total number of in-scope individuals.,Biennial,The 2015 questionnaire asked about Internet and device use during the past 6 months. Earlier questionnaires did not specify a reference period.,March 2016,,Jamie Lewis,jamie.michelle.lewis@census.gov,"U.S. Census Bureau, Current Population Survey Computer and Internet Use Supplements",null,null,"The 2011 and 2013 supplements directly asked whether individuals use a cellular phone or smartphone to access the Internet. The 2015 estimate represents those who 1) use a mobile phone, 2) use the Internet from any location, and 3) live in a household where someone accesses a mobile Internet service or data plan.",true,Web source: NTIA Digital Nation Data Explorer http://www.ntia.doc.gov/other-publication/2016/digital-nation-data-explorer,"Data are derived from the Computer and Internet Use Supplement of the Current Population Survey (CPS). The Census Bureau and Bureau of Labor Statistics jointly sponsor the CPS, and the National Telecommunications and Information Administration sponsors the supplement. Data are collected by the Census Bureau. Individuals using a mobile telephone: Persons age 3 and over who use an Internet-connected mobile telephone. Metadata sources: http://www.census.gov/programs-surveys/cps/technical-documentation/complete.html","Overall proportion available by age group, employment status, income, education, sex, race and Hispanic origin, disability status, metropolitan status, and whether school-aged child in household",Overall proportion available at national and state levels,October 2016,,Proportion,NA,0,0
194,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,/5-c-1/,5,indicator,5.c.1,null,null,null,null,UNK,null,null,3,UN WOMEN,5.c,false,,http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-5.pdf,35,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,Adopt and strengthen sound policies and enforceable legislation for the promotion of gender equality and the empowerment of all women and girls at all levels.,,null,null,,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,,0,0
195,Proportion of population using safely managed drinking water services,/6-1-1/,6,indicator,6.1.1,pct_pop_safewaterserv,longitudinal,,null,Graphed,null,null,1,WHO,6.1,true,"MDG target 7C called for sustainable access to safe drinking water. At the start of the MDG period, there was a complete lack of nationally representative data about drinking water safety in developing countries, and such data were not collected through household surveys or censuses. The JMP developed the indicator use of improved water sources, which was used as a proxy for safe water, as such sources are likely to be protected against faecal contamination, and this metric has been used since 2000 to track progress towards the MDG target. International consultations since 2011 have established consensus on the need to build on and address the shortcomings of this indicator; specifically, to address normative criteria of the human right to water including accessibility, availability, and quality. The above consultation concluded that JMP should go beyond the basic level of access and address safe management of drinking water services, including dimensions of accessibility, availability and quality. The proposed indicator of safely managed drinking water services is designed to address this.",http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-6.pdf,2,Proportion of population using safely managed drinking water services,"By 2030, achieve universal and equitable access to safe and affordable drinking water for all.","Population using a basic drinking water source (improved sources of drinking water used for MDG monitoring i.e. piped water into dwelling, yard or plot; public taps or standpipes; boreholes or tubewells; protected dug wells; protected springs and rainwater) which is located on premises and available when needed and free of faecal (and priority chemical) contamination.",Percent of the population served by community water systems that receive drinking water that meets all applicable health - based drinking water standards through approaches including effective treatment and source water protection.,Describes the percent of US population that receives drinking water from community water systems in compliance with drinking water standards.,"Household surveys and censuses currently provide information on types of basic drinking water sources listed above, and also indicate if sources are on premises. These data sources often have information on the availability of water and increasingly on the quality of water at the household level, through direct testing of drinking water for faecal or chemical contamination. These data will be combined with data on availability and compliance with drinking water quality standards (faecal and chemical) from administrative reporting or regulatory bodies. The WHO/UNICEF Joint Monitoring Programme for Water Supply and Sanitation (JMP) estimates access to basic services for each country, separately in urban and rural areas, by fitting a regression line to a series of data points from household surveys and censuses. This approach was used to report on use of improved water sources for MDG monitoring. The JMP is evaluating the use of alternative statistical estimation methods as more data become available. The accompanying Statistical Note describes in more detail how data on availability and quality from different sources, can be combined with data on use of different types of supplies, as recorded in the current JMP database to compute the proposed indicator. Predominant type of statistics: national estimates adjusted for global comparison.",,,,October 2016,US Environmental Protection Agency,Cummings.Travis@epa.gov,Safe Drinking Water Information System (SDWIS),null,null,"EPA classifies Public Water Systems (PWS) into 3 types according to the number of people they serve, the source of their water, and whether they serve the same customers year-round or on an occasional basis.",true,,"The EPA Office of Ground Water and Dr inking Water (headquarters) calculates this measure using data reported in the Safe Drinking Water Information System - Federal (SDWIS - FED) and provides the results to EPA regions. This measure includes federally - regulated contaminants of the following viola tion types: Maximum Contaminant Level, Maximum Residual Disinfection Limit, and Treatment Technique violations. It includes any violations from currently open and closed community water systems (CWSs) that overlap any part of the most recent four quarters.",,,September 2016,October 2016,Population,,0,0
196,"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",/6-2-1/,6,indicator,6.2.1,null,null,null,EPA does not have data,unk,null,null,1,WHO,6.2,true,"Predominant type of statistics:\nNational estimates adjusted for global comparison. MDG target 7C called for sustainable access to basic sanitation. JMP developed the metric of use of improved sanitation facilities, which are likely to hygienically separate human excreta from human contact, and has used this indicator to track progress towards the MDG target since 2000. International consultations since 2011 have established consensus on the need to build on and address the shortcomings of this indicator; specifically, to address normative criteria of the human right to water including accessibility, acceptability, and safety. Furthermore, the safe management of faecal wastes should be considered, as discharges of untreated wastewater into the environment create public health hazards. \nThe above consultation concluded that post-2015 targets, which apply to all countries, should go beyond the basic level of access and address indicators of safe management of sanitation services, including dimensions of accessibility, acceptability and safety. The Expert Working Group called for analysis of faecal waste management along the sanitation chain, including containment, emptying of latrines and septic tanks, and safe on-site disposal or transport of wastes to designated treatment sites. Classification of treatment will be based on categories defined by SEEA and the International Recommendations for Water Statistics and following a laddered approach (primary, secondary and tertiary treatment),",http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-6.pdf,5,"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations.","Population using a basic sanitation facility at the household level (improved sanitation facilities used for MDG monitoring i.e. flush or pour flush toilets to sewer systems, septic tanks or pit latrines, ventilated improved pit latrines, pit latrines with a slab, and composting toilets, the same categories as improved sources of drinking water used for MDG monitoring) which is not shared with other households and where excreta is safely disposed in situ or treated off-site. This is therefore a multipurpose indicator also serving the household element of the wastewater treatment indicator (6.3.1).",null,null,"Household surveys and censuses provide data on use of types of basic sanitation facilities listed above. The percentage of the population using safely managed sanitation services is calculated by combining data on the proportion of the population using different types of basic sanitation facilities with estimates of the proportion of faecal waste which is safely disposed in situ or treated off-site. The JMP estimates access to basic sanitation facilities for each country, separately in urban and rural areas, by fitting a regression line to a series of data points from household surveys and censuses. This approach was used to report on use of improved sanitation facilities for MDG monitoring. The JMP is evaluating the use of alternative statistical estimation methods as more data become available. The Statistical Note describes in more detail how safety factors, or the proportion of household wastewater that is safely disposed of in situ or transported to a designated place, will be generated through a national assessment process, and combined with data on use of different types of supplies, as recorded in the current JMP database. Calculation of safety factors for safe management of sanitation are the same used for safety factors for wastewater treatment required for household part of the indicator 6.3.1.",null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,,0,0
197,Proportion of wastewater safely treated,/6-3-1/,6,indicator,6.3.1,null,null,null,null,unk,null,null,3,UN HABITAT,6.3,true,"SDG proposed target calls for reducing water pollution, minimizing release of hazardous chemical and increasing treatment and reuse. Household wastewater includes faecal waste from onsite facilities (such as emptying and cleaning of cesspools and septic tanks, sinks and pits) as well as off-site wastewater treatment plants according to the ISIC definition 3700 for \Sewerage\. Inclusion of onsite facilities is critical from a public health, environment and equity perspective since approximately two thirds people globally use on-site facilities. \nIndustrial wastewater (which includes point source agricultural discharges) responds to minimizing release of hazardous chemicals. Diffuse agricultural pollution is a major source of water pollution but cannot be monitored at source and therefore its impact on ambient water quality will be monitored under 6.3.2.",http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-6.pdf,8,Proportion of wastewater safely treated,"By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally.","Proportion of wastewater generated both by households (sewage and faecal sludge), as well as economic activities (based on ISIC categories) safely treated compared to total wastewater generated both through households and economic activities. While the definition conceptually includes wastewater generated from all economic activities, monitoring will focus on wastewater generated from hazardous industries (as defined by relevant ISIC categories).",null,null,"The wastewater safely treated is calculated by combining the percentage of household (sewage and faecal sludge) wastewater and the percentage of wastewater from hazardous industries treated. Household surveys and censuses provide information on use of types of basic sanitation facilities. These estimates are combined with safety factors for on-site disposal and for transportation to designated places for safe disposal or treatment, as described in indicator 6.2.1. The information generated for indicator 6.2.1 will be combined with safety factors describing the proportion of wastewater from hazardous industries which is safely treated before disposal or reuse to produce indicator 6.3.1. Calculation of safety factors for household wastewater (sewage and faecal sludge) treatment will be coordinated with estimation of similar safety factors for safe management of sanitation required for indicator 6.2.1. The accompanying Statistical Note describes in more detail how safety factors for wastewater treatment, disposal and reuse will be generated through a national assessment process, and combined with data on use of different types of sanitation facilities, as recorded in the current JMP database. Statistical methods for measurement of the wastewater treatment (called wastewater to sewerageby SEEA-Water) align with the SEEA definitions and treatment categories (primary, secondary, tertiary). Statistical methods for the treatment of industrial wastewater align with the SEEA definitions and treatment categories using ISIC classifications and treated volumes from permits data.",null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,,0,0
198,Proportion of bodies of water with good ambient water quality,/6-3-2/,6,indicator,6.3.2,null,null,null,null,unk,null,null,3,"UNEP, ITU, UPU",6.3,true,"The proposed indicator informs on the quality of water bodies. The indicator allows for evaluating the impact of human development on ambient water quality and thus enables countries to assess the future services they can obtain from aquatic ecosystems (clean water for drinking, biodiversity, water for food production etc.). Water quality represents the actual outcome of all pollution and pollution reduction activities, and is thus essential to fully describe the environmental status of freshwater systems, as well as to fully report on target 6.3. Water quality also feeds into all other water-related targets, and the proposed indicator can be used to directly report on many other targets or parts of targets (refer to supplementary information).",http://unstats.un.org/sdgs/files/metadata-compilation/Metadata-Goal-6.pdf,10,Proportion of bodies of water with good ambient water quality,"By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally.","Proportion of water bodies (area) in a country with good ambient water quality compared to all water bodies in the country. Good indicates an ambient water quality that does not damage ecosystem function and human health according to core ambient water quality indicators. Concept: Water quality is estimated based on a core set of five determinands that inform on major water quality impairments present in many parts of the world: total dissolved solids (TDS); percentage dissolved oxygen (% DO); dissolved inorganic nitrogen (DIN); dissolved inorganic phosphorus (DIP); and Escherichia coli (E. coli). As monitoring capacities and coverage vary between countries, a monitoring ladder is proposed. On the first rung, the number of determinands not meeting national water quality guidelines based on the existing monitoring sites are used to estimate the water quality. On the second rung, a water quality index is used to combine the determinand values in a statistically more robust manner, and the monitoring coverage increased. On consecutive rungs, the monitoring coverage can be step-wise increased and complementary determinands covering additional aspects of ambient water quality can be included depending on the national capacities and requirements enabling the indicator to inform on the status of ambient water quality in a more comprehensive way.",null,null,"The GEMS/Water1 water quality index approach is used as a general model to calculate the index, in which measured determinand values are compared to guideline values (proximity to target approach): \t1. Proximity-to-target (PTT) scores for each determinand at single monitoring sites are calculated as the difference between the temporal average (for the accounting period) of the determinand concentration and the target divided by the range between the (winsorized) minimum or maximum of the measured determinand concentration (for exceedance and non-exceedance targets, respectively) and the target. The PTT scores are scaled to the range between 0 and 100, where 100 indicates that the target is met and decreasing scores indicate an increasing distance from the target. \t2. The water quality index (WQI) at site level is computed as the arithmetic mean of the site-level PTT scores for the selected determinands. The WQI scale can be divided into different water quality categories, ranging from very bad to excellent. The thresholds for these categories are country specific and should be reported in the monitoring system by the individual countries \t3. For the spatial aggregation at the basin level and country level, the water bodies are divided into stretches of homogenous quality (between consecutive monitoring stations). \t4. The final indicator is calculated from the proportion of the stretches with good quality compared to all water bodies assessed.",null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,,0,0
